Date,Open,Close,Google Trends,Previous GT,Volume,TTM EPS,TTM PE,Close Higher
4/19/2024,120.23,120.54,56,54,809878,12.03,10.02,0
4/18/2024,120.76,121.08,54,47,715476,12.03,10.06,1
4/17/2024,122.89,119.33,47,48,987792,12.03,9.92,0
4/16/2024,121.99,120.68,48,46,1626338,12.03,10.03,0
4/15/2024,126.96,123.36,46,42,1090261,12.03,10.25,0
4/12/2024,128.28,125.54,42,45,882976,12.03,10.44,0
4/11/2024,129.76,129.41,45,47,743955,12.03,10.76,1
4/10/2024,125.22,128.29,47,44,910247,12.03,10.66,1
4/9/2024,131.79,128.22,44,46,1877691,12.03,10.66,0
4/8/2024,134.51,132.73,46,53,866417,12.03,11.03,0
4/5/2024,134.52,134.09,53,52,743789,12.03,11.15,0
4/4/2024,140.97,134.38,52,47,1241970,12.03,11.17,0
4/3/2024,141.69,138.76,47,46,1153092,12.03,11.53,0
4/2/2024,141.75,141.66,46,51,1081481,12.03,11.78,0
4/1/2024,145.81,145.75,51,50,1144909,12.03,12.12,1
3/28/2024,142.9,143.8,50,48,800035,12.03,11.95,1
3/27/2024,140.84,143.02,48,51,1015594,12.03,11.89,1
3/26/2024,142.14,140.05,51,48,1023328,12.03,11.64,0
3/25/2024,141.73,141.25,48,54,1071042,12.03,11.74,0
3/22/2024,139.54,141.62,54,54,1111254,12.03,11.77,1
3/21/2024,140,141,54,54,1304420,12.03,11.72,1
3/20/2024,133.04,139.99,54,48,2432394,12.03,11.64,1
3/19/2024,128.59,131.71,48,50,964462,12.03,10.95,1
3/18/2024,128.01,129.96,50,48,1175266,12.03,10.80,1
3/15/2024,126.18,128.17,48,45,1466398,12.03,10.65,1
3/14/2024,129.72,125.99,45,47,879043,12.03,10.47,0
3/13/2024,125.53,129.32,47,43,1338871,12.03,10.75,1
3/12/2024,126.4,125.59,43,47,1216074,12.03,10.44,0
3/11/2024,124.9,126.7,47,49,1219956,12.03,10.53,1
3/8/2024,124.19,125.04,49,52,1112764,12.03,10.39,1
3/7/2024,120.24,124,52,48,1152647,12.03,10.31,1
3/6/2024,123.5,120.39,48,54,689700,12.03,10.01,0
3/5/2024,123.14,122.02,54,61,1171398,12.03,10.14,0
3/4/2024,125.99,124.59,61,52,1039621,12.03,10.36,0
3/1/2024,123.57,124.81,52,52,1084491,12.03,10.37,1
2/29/2024,124.7,122.25,52,55,1423386,12.03,10.16,0
2/28/2024,120.17,123.26,55,61,1015745,12.03,10.25,1
2/27/2024,118.52,121.09,61,45,1189869,12.03,10.07,1
2/26/2024,118.75,119.88,45,43,1099025,12.03,9.97,1
2/23/2024,117.28,118.31,43,40,891902,12.03,9.83,1
2/22/2024,116.65,117.29,40,35,1272503,12.03,9.75,1
2/21/2024,113.89,115.72,35,40,861231,12.1,9.56,1
2/20/2024,117.08,115.59,40,35,1482288,12.1,9.55,0
2/16/2024,120.58,118.98,35,37,1888107,12.1,9.83,0
2/15/2024,116.66,121.63,37,37,4853610,12.1,10.05,1
2/14/2024,108.99,108.37,37,37,1944271,12.1,8.96,1
2/13/2024,105.4,106.94,37,39,1370148,12.1,8.84,0
2/12/2024,108.14,110.08,39,38,1554139,12.1,9.10,1
2/9/2024,105.1,107.54,38,40,1263917,12.1,8.89,1
2/8/2024,100.97,104.31,40,38,1135996,12.1,8.62,1
2/7/2024,99.82,99.97,38,40,1020987,12.1,8.26,1
2/6/2024,96.49,99,40,41,1004305,12.1,8.18,1
2/5/2024,97.53,96.21,41,40,922048,12.1,7.95,0
2/2/2024,99.58,98.18,40,46,1665911,12.1,8.11,0
2/1/2024,103.04,100.81,46,41,1759214,12.1,8.33,0
1/31/2024,103,101.48,41,36,1278646,12.1,8.39,0
1/30/2024,104.01,103.94,36,31,1009243,12.1,8.59,0
1/29/2024,103.15,104.4,31,35,1718693,12.1,8.63,1
1/26/2024,102.45,102.96,35,35,1639558,12.1,8.51,1
1/25/2024,100.92,100.66,35,38,1311945,12.1,8.32,1
1/24/2024,102.69,100.2,38,40,1195695,12.1,8.28,0
1/23/2024,102.71,101.99,40,35,1407970,12.1,8.43,0
1/22/2024,102.73,102.09,35,NA,1234388,12.1,8.44,1
